iter	MultiClass
0	1.52802811
1	1.442307267
2	1.389747035
3	1.337340028
4	1.2857039
5	1.248805573
6	1.211752247
7	1.175872739
8	1.14503026
9	1.119219302
10	1.100167415
11	1.079715013
12	1.057452733
13	1.036745527
14	1.016305953
15	1.00198726
16	0.9858454946
17	0.9721120283
18	0.9603579028
19	0.9470158586
20	0.9333560618
21	0.924021722
22	0.9138152878
23	0.9048332928
24	0.8973246154
25	0.8907250561
26	0.8838640022
27	0.8764455152
28	0.8699132242
29	0.8650657715
30	0.8589626719
31	0.8525137178
32	0.8482827921
33	0.8436868962
34	0.8400561353
35	0.8342011042
36	0.8273808803
37	0.8233228243
38	0.8192185896
39	0.8138182601
40	0.8098732028
41	0.8060033495
42	0.8034282637
43	0.7993619697
44	0.7942041421
45	0.7908151892
46	0.786877208
47	0.783420188
48	0.7804005657
49	0.7773582958
50	0.7750481693
51	0.7720626481
52	0.7697983713
53	0.7670430756
54	0.7643244872
55	0.7613667918
56	0.7593896129
57	0.7568687747
58	0.7542655955
59	0.7518208414
60	0.7489434679
61	0.7464462621
62	0.7441003786
63	0.7421716364
64	0.7397608109
65	0.7370442689
66	0.7350386786
67	0.7331709726
68	0.7311090396
69	0.7279772184
70	0.7250389011
71	0.722892485
72	0.7215624924
73	0.7197188389
74	0.7176741914
75	0.7160489047
76	0.7142302902
77	0.7119785403
78	0.7096476718
79	0.7072649631
80	0.7045705673
81	0.7020694126
82	0.7007517483
83	0.6995012211
84	0.6978238731
85	0.6953328105
86	0.693119356
87	0.6919109062
88	0.690480567
89	0.688729563
90	0.6865397478
91	0.6845380473
92	0.6829184177
93	0.6809404464
94	0.6794178472
95	0.6777101117
96	0.6763085405
97	0.6745235106
98	0.6724019663
99	0.6709523248
100	0.6692164834
101	0.6674241709
102	0.6660013161
103	0.6647640853
104	0.6631506078
105	0.661030693
106	0.659171018
107	0.6576257592
108	0.656278689
109	0.6546186143
110	0.6529213507
111	0.6515092014
112	0.6503953858
113	0.6489577111
114	0.6473970981
115	0.6459890983
116	0.6445670941
117	0.6432116897
118	0.6420033548
119	0.6406836264
120	0.6394171614
121	0.6379082136
122	0.6362268132
123	0.6350183476
124	0.633593029
125	0.6323489403
126	0.631036006
127	0.6299417757
128	0.6287245478
129	0.6275158359
130	0.6265067763
131	0.625257737
132	0.6242749931
133	0.6229277467
134	0.6217702706
135	0.6208713552
136	0.6198849934
137	0.618506825
138	0.6177202084
139	0.6167847588
140	0.6157854914
141	0.6146875108
142	0.6136855959
143	0.6122895625
144	0.6112552582
145	0.6104113025
146	0.6096379318
147	0.6086572569
148	0.6075483797
149	0.6063411246
150	0.6054680508
151	0.6044476702
152	0.603514809
153	0.602166682
154	0.6009791385
155	0.6002047855
156	0.5993035198
157	0.5979818436
158	0.5968375887
159	0.5963587179
160	0.5953523615
161	0.5947050139
162	0.5938736745
163	0.5928181063
164	0.5921172844
165	0.591163445
166	0.5904114266
167	0.5897887814
168	0.5889222824
169	0.5882486772
170	0.5872671807
171	0.5864188764
172	0.5853511944
173	0.5845915446
174	0.58345173
175	0.5824944968
176	0.5818297184
177	0.5808688141
178	0.5800667983
179	0.5792769684
180	0.5786654831
181	0.5778790102
182	0.5770124078
183	0.5763016234
184	0.5753845972
185	0.5747796282
186	0.5739388068
187	0.5731035422
188	0.5722806382
189	0.5714452834
190	0.5706695892
191	0.5697538674
192	0.5691943333
193	0.5684676915
194	0.56789107
195	0.5672407721
196	0.566738312
197	0.5661482068
198	0.5654502062
199	0.5644205696
200	0.5638026293
201	0.5631731019
202	0.562332469
203	0.5618998849
204	0.5613537931
205	0.5606882064
206	0.5599376527
207	0.5594367721
208	0.5587475562
209	0.5581650516
210	0.5575451836
211	0.5569560391
212	0.5564518972
213	0.5559408024
214	0.5553144851
215	0.5546606792
216	0.5542670275
217	0.5537591468
218	0.5527082796
219	0.5520636723
220	0.551559763
221	0.5510013358
222	0.5503517106
223	0.5496965408
224	0.5491650967
225	0.5485520248
226	0.5478938557
227	0.5473794115
228	0.5467772024
229	0.5462519817
230	0.5458477357
231	0.5450314138
232	0.5444736709
233	0.5440766247
234	0.5434725575
235	0.5431607976
236	0.5424961561
237	0.5416891522
238	0.5410417777
239	0.5404698729
240	0.5400328603
241	0.5392829672
242	0.5388445951
243	0.5382533031
244	0.5378510219
245	0.5369994984
246	0.5363719018
247	0.5359451
248	0.535655979
249	0.5351486286
250	0.5348041117
251	0.5342945116
252	0.5337889442
253	0.533639539
254	0.5331437302
255	0.5326932029
256	0.5322797525
257	0.5318422967
258	0.5314627448
259	0.5309626714
260	0.5303477107
261	0.5297649309
262	0.5292970108
