iter	Passed	Remaining
0	49	49394
1	50	25172
2	51	17113
3	52	13036
4	53	10576
5	54	8952
6	54	7788
7	55	6894
8	56	6267
9	57	5728
10	58	5243
11	59	4878
12	60	4572
13	61	4309
14	62	4080
15	63	3874
16	64	3701
17	64	3529
18	65	3387
19	66	3275
20	67	3164
21	69	3070
22	70	2982
23	71	2887
24	72	2814
25	73	2739
26	74	2669
27	75	2609
28	76	2557
29	77	2504
30	79	2471
31	80	2433
32	81	2394
33	83	2365
34	84	2332
35	86	2312
36	87	2285
37	88	2252
38	90	2235
39	92	2219
40	94	2209
41	97	2228
42	102	2289
43	104	2269
44	105	2240
45	106	2218
46	108	2196
47	110	2181
48	111	2160
49	112	2137
50	113	2120
51	115	2099
52	116	2085
53	117	2065
54	119	2046
55	120	2028
56	121	2015
57	125	2044
58	128	2046
59	129	2031
60	130	2007
61	131	1987
62	132	1965
63	132	1943
64	133	1920
65	134	1899
66	134	1876
67	135	1855
68	136	1835
69	136	1818
70	137	1799
71	138	1779
72	138	1761
73	139	1747
74	140	1727
75	140	1712
76	141	1697
77	142	1678
78	142	1663
79	143	1645
80	143	1627
81	143	1609
82	144	1592
83	144	1576
84	144	1560
85	145	1544
86	145	1528
87	146	1513
88	146	1497
89	146	1483
90	146	1468
91	147	1453
92	147	1439
93	147	1425
94	148	1412
95	148	1398
96	148	1386
97	149	1373
98	149	1360
99	149	1347
100	150	1335
101	150	1323
102	150	1311
103	150	1300
104	151	1289
105	151	1277
106	151	1266
107	152	1256
108	152	1245
109	152	1235
110	152	1225
111	153	1215
112	153	1205
113	153	1195
114	154	1186
115	154	1176
116	154	1167
117	154	1158
118	155	1149
119	155	1140
120	155	1131
121	156	1122
122	156	1114
123	156	1105
124	156	1097
125	157	1089
126	157	1081
127	157	1073
128	157	1066
129	158	1058
130	158	1051
131	158	1043
132	158	1036
133	159	1029
134	159	1022
135	159	1015
136	160	1009
137	160	1003
138	160	996
139	161	990
140	161	983
141	161	976
142	161	970
143	162	963
144	162	957
145	162	950
146	162	944
147	162	938
148	163	932
149	163	926
150	163	919
151	163	913
152	164	908
153	164	902
154	164	896
155	164	890
156	164	885
157	165	879
158	165	874
159	165	868
160	165	863
161	165	858
162	166	853
163	166	848
164	166	843
165	166	838
166	167	833
167	167	828
168	167	823
169	167	818
170	167	814
171	168	809
172	168	804
173	168	799
174	168	795
175	168	790
176	169	786
177	169	781
178	169	777
179	169	773
180	169	768
181	170	764
182	170	760
183	170	756
184	170	752
185	170	748
186	171	744
187	171	740
188	171	736
189	171	732
190	172	728
191	172	725
192	172	721
193	172	717
194	172	714
195	173	710
196	173	706
197	173	703
198	173	699
199	173	695
200	174	692
201	174	689
202	174	685
203	174	682
204	175	679
205	175	675
206	175	672
207	175	669
208	176	666
209	176	663
210	176	660
211	176	656
212	177	654
213	177	650
214	177	647
215	177	644
216	177	641
217	178	638
218	178	635
219	178	632
220	178	629
221	178	626
222	179	624
223	179	621
224	179	618
225	179	616
226	180	613
227	180	610
228	180	607
229	180	605
230	180	602
231	181	599
232	181	597
233	181	594
234	181	592
235	182	589
236	182	587
237	182	584
238	182	582
239	183	579
240	183	577
241	183	574
242	183	572
243	183	569
244	184	567
245	184	564
246	184	562
247	184	560
248	184	557
249	185	555
250	185	553
251	185	550
252	185	548
253	185	545
254	186	543
255	186	541
256	186	539
257	187	537
258	187	536
259	187	534
260	188	532
261	188	531
262	189	529
263	189	527
264	189	526
265	190	524
266	190	522
267	190	521
268	191	519
269	191	517
270	191	515
271	191	513
272	191	511
273	192	509
274	192	507
275	192	505
276	192	503
277	193	502
278	193	500
279	194	498
280	194	497
281	195	496
282	195	495
283	195	493
284	195	491
285	196	491
286	197	489
287	197	488
288	197	487
289	198	485
290	198	483
291	198	481
292	199	480
293	199	479
294	200	478
295	200	477
296	200	475
297	201	473
