id,label,speaker,claim,evidence
9341,false,John Boehner,The Democrat-backed health care reform plan will require (Americans) to subsidize abortion with their hard-earned tax dollars.,"In an already contentious health care debate, the last thing the Obama administration wants is a fight over abortion. The word abortion was never mentioned in the initial health care plans released by the House and Senate. The decision of whether to offer abortion coverage in the proposed public plan, then, would be left up to the health and human services secretary. Abortion opponents said that would allow Democrats to slip abortion into the plan as part of the standard coverage. In an op-ed piece on July 23, House Republican Leader John Boehner of Ohio repeated the concerns of many who oppose abortion that the Democratic-backed health care reform plan will require (Americans) to subsidize abortion with their hard-earned tax dollars. Although there are several versions of the health care bill kicking around in Congress, one thing has now become clear: Most envision a government-run health plan option that could include abortion coverage, as well as a health care exchange in which participating private insurance companies would be permitted to offer such coverage. But does that mean that federal tax dollars would be used to subsidize abortions? That's a more difficult question. Let's back up a minute and explain some background: Currently, the 1976 Hyde Amendment prohibits the use of federal funds for abortions through Medicaid except in cases of rape, incest or when the mother's health is in peril. So states that want to offer abortion coverage have to pay for it themselves. Similar restrictions on public funding for abortions applies to federal health care coverage extended to active and retired military and federal employees. President Barack Obama gave a nod to that precedent when asked in a July 21 CBS interview with Katie Couric whether he favored a government option that would cover abortions. Obama said, As you know, I'm prochoice. But I think we also have a tradition of, in this town, historically, of not financing abortions as part of government-funded health care. Rather than wade into that issue at this point, I think that it's appropriate for us to figure out how to just deliver on the cost savings, and not get distracted by the abortion debate at this station. Abortion opponents had hoped similar restrictions to those in the Hyde Amendment would be placed on any government-run health care option, and also be extended to any private insurance companies that participate in the government-sponsored health care exchange, which will provide health insurance for people who don't get it through their employer. To that end, Rep. Bart Stupak, D-Mich., offered an amendment to the House health care proposal that would prohibit the use of public money to cover any part of the costs of any health plan that includes coverage of abortion. The amendment was narrowly defeated. Donna Crane, policy director for NARAL Pro-Choice America, called Stupak's proposal a radical departure from the status quo, because millions of women who currently have private insurance plans that cover abortions would be stripped of that coverage if their plan ultimately became part of the exchange — which seems likely. According to a 2002 Guttmacher Institute study, 87 percent of employment-based insured health plans offered coverage for abortions (though not all companies select it for their employees). A 2003 Kaiser Family Foundation survey found that 46 percent of covered workers had coverage for abortions. The two surveys asked different questions, but the bottom line is that a significant percentage of women currently have health insurance that covers abortions. And so began the debate over how to make the health care reform bill abortion neutral. A compromise plan offered by Rep. Lois Capps, D-Calif., which passed the House Energy and Commerce Committee, seeks to alleviate many of the concerns expressed by abortion opponents — particularly the issue of tax dollars being used to subsidize abortions — while specifically making abortion coverage available in both the public plan and in private plans participating in the exchange. Under the Capps amendment: • Abortion coverage would not be part of the required minimum benefits package. In other words, insurers would not be required to offer, or be prohibited from offering, abortion services in order to participate in the exchange. • The public plan could include abortion coverage, but the cost of the additional coverage could not be paid through public subsidies (tax dollars), only through the premiums paid by the insured. And with private plans in the exchange, again, federal subsidies could not be used for abortion coverage. • Public funding would only be permitted for abortions allowed under the Hyde Amendment — in cases of rape, incest or when the mother's life is in danger. • At least one plan in every region must offer full abortion coverage; and one must not. • Any insurance plan participating in the exchange cannot discriminate against hospitals or other health care facilities (such as Catholic hospitals) that are unwilling to provide abortions. • The plan will not pre-empt any state laws regarding abortion, such as parental notification laws. Douglas Johnson, legislative director for National Right to Life, said the amendment is hardly a compromise, and the pledge not to prohibit the use of public funds amounts to little more than symbolic bookkeeping. The Capps amendment may claim to segregate funds used for abortions, he said, but the bottom line is you have the government paying subsidies to people who are then able to obtain abortion coverage. And, he said, It's still the government running the whole plan. The government would be participating in the killing of unborn children under the guise of a health care plan, Johnson said. But that's not the opinion of all antiabortion groups. Chris Korzen, executive director of Catholics United, which opposes abortion, said his group doesn't want to see an important health care plan derailed by a misleading campaign that claims the health care plan would mean taxpayer-subsidized abortions. The goal should be to maintain the current policies, Korzen said. That Capps amendment accomplishes just that. It specifically prohibits taxpayers' funding of abortions. It disappoints me that there are people who are still making that claim. And, he said, there's a lot to be happy about, including the fact that abortion coverage was not included as part of the required minimum benefits package. Crane said NARAL believes abortion should be treated like any other health service. But they think the Capps amendment at least maintains the status quo, and that it helped to alleviate many of the concerns expressed by abortion opponents. We thought they got everything they wanted, Crane said. We are confused why they continue to push. Obviously, there's a lot at stake in the health care bill for both sides in the abortion debate. The fact that several versions of the health care reform bill are floating around Congress makes it difficult to say with certainty what the final plan will or will not include. But while it appears likely the plan would allow for the coverage of abortions, we don't see anything in the plans that would require taxpayers to foot the bill for that. In fact, in a key version of the bill — the one passed by the House Energy and Commerce Committee — members went to great pains to include an amendment to ensure that federal money is not used for abortion coverage. Again, things could change as the health reform package works its way through Congress, but for now, we don't see anything to support Boehner's claim that taxpayers would subsidize abortions. And so we rule his statement False."
8322,false,Josh Hawley,Says a bill co-sponsored by Sen. Claire McCaskill would give a free pass to any illegal immigrant who brings a child to the border.,"Missouri Attorney General Josh Hawley and outside groups supporting his campaign have criticized Sen. Claire McCaskill for her views on immigration during their Senate race. A recent salvo in this subtext of their contest comes from Hawley in the form of an op-ed for FoxNews.com.  now she (McCaskill) is sponsoring the most radical open-border bill ever introduced in Congress, Hawley wrote. Her bill was written by California liberal Democratic Sen. Dianne Feinstein, and it would give a free pass to any illegal immigrant who brings a child to the border. Hawley is referring to the Keep Families Together Act, which would bar family separations except if the child is at risk of trafficking and abuse by parents or guardians. Kelli Ford, the Hawley campaigns press secretary, said that Hawleys free pass comments meant that if you are an immigrant coming here illegally with a child, this bill would let you enter into the United States. With immigration becoming a wedge issue between McCaskill and Hawley, we spoke to experts and consulted the text of the bill to determine the accuracy of Hawleys assertion. Ford pointed to the language of the bill from Section 2(a), which, in her words, tells agents/officers that they cant remove a child from a parent/legal guardian within the 100-mile limit of the United States. Thats true — with exceptions. Border officials could separate if the child is a victim of trafficking or at significant risk of it; if there's a strong likelihood that the adult is not the parent; or if the child is in danger of abuse or neglect. State courts and state or county child welfare agencies can also separate families if it's in the child's best interest. Finally, Ford pointed to an excerpt from the bill that says children cant be removed from guardians solely for the policy goal of deterring individuals from migrating to the United States or for the policy goal of promoting compliance with civil immigration laws. Hawleys depiction of the Keeping Families Together Act is incorrect, experts said. The bill would not grant illegal immigrants a pass — free or otherwise — to enter or live legally or illegally in the United States, David Bier, an immigration policy analyst at the libertarian Cato Institute think tank wrote in an email. It would only prohibit the separation of children from their parents who come to the border unless the child is a victim of trafficking or abuse. Bier went on to write that the bill does not forbid the removal of parents who are undocumented immigrants from the U.S., meaning it does not change existing immigration law, nor does it seek to make it easier for such parents or guardians to stay in the U.S. Leon Fresco, an immigration attorney based in Washington, D.C., put his objections to Hawleys claim simply: Nothing in this bill prevents the removal of a family unit in its entirety. The bill does not block families from being detained together, said Fresco, aformer deputy assistant attorney general who drafted the Senates comprehensive immigration reform bill in 2013. While Fresco understands the reasoning behind thinking its wrong to prevent the government from prosecuting an adult for crossing the border illegally if they bring their child, that is not what this proposed law would do. It only prevents the separation of the adult and the child, Fresco wrote. The bill does not put forth safeguards for immigrants without documentation; adults can still be prosecuted. Matt Barreto, UCLA professor of political science and Chicana/o studies, was adamant in his disagreement with Hawleys conclusion about the bill: It absolutely does not do that. It just blocks DHS/CBP from taking children away from their parents, Barreto wrote in an email. People still have to go through all the normal procedures for asylum, refugee or immigration. The Hawley campaign pointed out that Barretos firm Latino Decisions did polling work for the Hillary Clinton campaign. Hawley said McCaskill backed a bill that would give a free pass to any illegal immigrant who brings a child to the border. The bill in question takes no such measure. Undocumented immigrants are not afforded any new protections from prosecution under the bill; it seeks to stop the separation of immigrant children from their families or guardians. The thinking behind Hawleys charge against McCaskill has been echoed by Republican officials throughout the country. That doesnt make it more right. Update, Oct. 6, 11:30p.m.: The article has been updated to add context to two sources, Leon Fresco and Matt Barreto."
7357,false,Facebook posts,"The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.","The omicron variant of the COVID-19 virus screeched onto the global stage in late November, with ominous warnings about how fast it could spread and questions about whether it could evade vaccines. Theres a lot that scientists still dont know about the variant that can only be learned with time and further research. But we spotted one lengthy and widely shared Facebook post that warned about omicrons dangers and included some very specific data points we had not seen before. Among them: The toxicity of COVID-Omicron is 5 times higher than that of the Delta variant, and the mortality rate is also higher than that of Delta, the Dec. 4 post said. The post was flagged as part of Facebooks efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Its not clear where this data originated. We saw the same post being shared publicly by others as early as Dec. 3 with no source information. Toxicity is not a commonly referenced measure of COVID-19 variants, so its unclear what point the speaker was trying to make. And there is no evidence so far to support the claim that the mortality rate for omicron is higher than delta. Early indications suggest that omicron might result in milder illness. But it also appears to be highly transmissible. Because hospitalizations and deaths usually lag outbreaks of cases, experts still need time to study the trends. On whether the variant could be less severe, Dr. Emily S. Gurley, an epidemiologist at Johns Hopkins Bloomberg School of Public Health, told The New York Times, It would not be shocking if thats true, but Im not sure we can conclude that yet. Omicron was first identified by researchers in South Africa, who reported it to the World Health Organization on Nov. 24. The WHO designated it as a variant of concern two days later, citing its large number of mutations; evidence of an increased risk of COVID-19 reinfection with the variant; and the number of cases that were appearing in South Africa. The omicron variant has since been identified in at least 50 countries, including the United States. In a preliminary study published Dec. 2 that has not been peer-reviewed, scientists in South Africa said omicron was at least three times more likely to cause reinfection than previous coronavirus variants beta and delta. And newer studies, including from Pfizer and BioNTech, suggest ​​omicron can partially dodge immune defenses granted by vaccines, which seems to be strengthening the case for boosters, including the possibility of a fourth shot. As far as the harshness of illness goes, Dr. Anthony Fauci, White House chief medical adviser, on Dec. 5 said that further study is needed before anything definitive can be determined. Thus far, he said on CNNs State of the Union show, it does not look like there's a great degree of severity to it. In South Africa, hospital researchers said current patients are experiencing milder illness than those who had other variants of the virus, including delta. One doctor said symptoms of omicron that she has witnessed include fatigue and a scratchy throat, but no cough. And a very small study in South Africa of 42 patients admitted to a hospital between Nov. 14 and 29 showed that most didnt need oxygen, and many had initially come to the hospital seeking treatment for other illnesses, not COVID-19. The study has not been peer-reviewed, and the researchers did not know how many of the COVID-19 patients were infected with the omicron variant, though the government reported last week that it already accounted for three-quarters of virus samples in South Africa, the New York Times reported. Meanwhile, Harvard experts warned Dec. 7 that omicron could overtake delta as the dominant strain within a matter of weeks because of its transmissibility. That remains difficult to confirm until more information is available because conditions vary in each country, and the U.S. has much higher vaccination rates than South Africa. A Facebook post says, The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta. Its not clear where these data points originate and we find no evidence of them in available research to date. Early evidence indicates omicron might result in milder illness. But research has found it is highly transmissible, can cause reinfection at a rate of at least three times higher than prior COVID-19 variants and has the power to elude some of the protections vaccines give. But more information is still needed, in part because hospitalizations and deaths usually lag outbreaks of cases. That said, there is nothing in the research so far that indicates the data reported in this post is accurate."
5197,false,Alberta Darling,"Says state Rep. Sandy Pasch, her recall opponent, voted to allow public school employees to use taxpayer dollars to pick up the tab forViagra.","One of the eye-catching direct mail pieces of the Senate recall campaigns is Republican Sen. Alberta Darlings depiction of her opponent, Democrat Sandy Pasch, on the screen of an electronic tablet.iBad, The Sandy Pasch Edition, the mailer shouts.It invents applications such as iSpend, iTax, iOink, and iBilk to paint Pasch as a tax and spend liberal.The iBilk, the mailer says, runs union applications that send taxpayer dollars to the bedroom -- for Viagra -- instead of the classroom.Thats right, Viagra is a topic in the Milwaukee-area Senate recall to be decided Aug. 9, 2011.Darling also focuses on the issue in a campaign TV ad that says: Sandy Pasch even voted to allow public school employees to use taxpayer dollars to pick up the tab forViagra.Did Pasch, D-Whitefish Bay, vote to give teachers health insurance coverage that paid for Viagra and other pills for erectile dysfunction?The Viagra issue won wide publicity in 2010 when the Milwaukee Teachers Education Association sued the Milwaukee Public Schools over the issue, claiming men were unfairly discriminated against by an MPS decision to stop covering the pills.MPS first agreed to cover the drugs in 2002, leading to 1,002 claims for such drugs from MPS employees by 2004. During negotiations with the union for its 2003-2005 contract, MPS tried to stop coverage of the drugs, citing rising costs.An arbitrator sided with the district in 2005, leading to further appeals that ultimately did not go the unions way. The 2010 union lawsuit was dropped in March 2011, in effect settling the issue in favor of the district.We asked Darlings camp to explain the connection between the nearly decade-old MPS dispute and Pasch, who was elected in 2008.Andrew Davis, Darlings campaign manager, did not cite a specific vote on the MPS issue or on coverage of Viagra.He offered a more general response, saying that Pasch has stood with unions and backed union rights in the controversy over Gov. Scott Walkers move -- supported by Darling -- to curtail collective bargaining for public employees.Said Davis: The extent of collective bargaining gave unions the power to bargain for Viagra, and that bill was put on the backs of the taxpayers.But thats not what the TV ad said.Pasch is pro-union, and has supported a reversal of the collective bargaining limits that Walker and GOP lawmakers put through. But she has at times disagreed with the Milwaukee teachers union.That union recently declined to reopen bargaining to talk about contributing more toward teachers benefits in order to possibly save some jobs. Pasch said she wished they had come back to the table.But there was no legislative vote related to Viagra.And Pasch came into public life three years after an arbitrator ruled MPS could deny Viagra to employees.Darling tries to make the case that collective bargaining enabled the union to get Viagra coverage. But MPS management was the party that signed off on it. Even if MPS didnt have to negotiate with employees in the early 2000s, it could have added the drugs. And it didnt need an end to collective bargaining in 2011 to make the call to drop the drugs -- it did that years earlier.The bottom line?In seeking to tap into anger in some quarters over the Viagra issue, Darling claims Pasch voted to allow it for school district employees.Darling cites Paschs support for collective bargaining. But there was no vote in Madison on the matter. The issue was resolved in Milwaukee when an arbitrator ruled in favor of the school district -- years before Pasch came to office."
16264,false,Facebook posts,"It was revealed in court on Feb. 23, 2022 that Tory Lanez DNA WAS NOT found on the weapon in the Meg Thee Stallion case.","A high-profile court case where one rapper stands accused of shooting another is the subject of social media speculation. A viral Feb. 23 post on Facebook says, It was revealed in court a few moments ago that Tory Lanez DNA WAS NOT found on the weapon in the Meg Thee Stallion case. The post is a screenshot of a Feb. 23 tweet by DJ Akademiks, which has since been deleted from Twitter. The post was flagged as part of Facebooks efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) At a Feb. 23 pre-trial hearing for Lanez — charged in the 2020 shooting of Megan Thee Stallion — no one said that his DNA was not found on the weapon. A transcript from the hearing indicates that Lanezs attorney said, We are in the process of actually retaining an expert with respect to DNA, according to a tweet by Rolling Stone reporter Nancy Dillon. It is our hope that we will be able to review and confirm the (Los Angeles Police Departments) analysis, which from our standpoint was favorable. But the precise nature of the LAPD analysis and its results were not disclosed or described, Dillon wrote in a follow-up tweet. There is a discovery protective order on this case, so it's not public. The Los Angeles County District Attorneys Office told a news organization, We believe the evidence substantially supports the charges and allegations and that evidence will be borne out in court. Lanez is charged with one count of assault with a semiautomatic handgun and one count of carrying a loaded, unregistered firearm in a vehicle. In July 2020, Megan, whose real name is Megan Pete, attended a party at Kylie Jenners house with Lanez, and later that night, Megan was shot. Initial reports indicated conflicting information about what had unfolded. The Los Angeles police have not named a suspect or explained her injuries in detail, the New York Times reported in late July 2020. The police would not even confirm whether the injuries were gunshot wounds. In October 2020, Lanez was charged in connection with the shooting. A Facebook post says, It was revealed in court on Feb. 23, 2022that Tory Lanez DNA WAS NOT found on the weapon in the Meg Thee Stallion case. At a Feb. 23 pre-trial hearing for Lanez no one said that his DNA was not found on the weapon. Lanezs attorney said they were in the process of retaining a DNA expert, and that the LAPD had done a DNA analysis. The nature and results of that analysis were not disclosed."
9201,false,Facebook posts,The CDC was normalizing blood clots by tweeting about the health condition before the Super Bowl.,"A few days before Super Bowl LVI , the Centers for Disease Control and Prevention referenced the game in a tweet about how to safeguard against the common risk of blood clots. That prompted several vaccine skeptics on social media to respond that it was an effort by the agency at normalizing blood clots. Normalizing blood clots, read a Feb. 12 Facebook post that shared a screenshot of the CDC tweet from two days prior. Maybe, if you avoid a certain strongly pushed jab you wont have to worry so much about this. & if you get CO\/ID you can take aspirin or NAC. Have they EVER before put out anything like this for the SuperBowl? The answer would be NO. The post was flagged as part of Facebooks efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The pre-Super Bowl tweet, however, was not the first time the CDC took to Twitter to warn about the dangers of blood clots. We found instances of such tweets published in February and March of 2015, years before there was a COVID-19, as well as twice in October of 2020, before there was an authorized COVID-19 vaccine in the U.S. Neither was it the first time the CDC tied such a warning to a big sporting event. In 2016, it also warned its Twitter followers during March Madness about the dangers of blood clots. The CDC did not return a request for comment for this article. The best defense is a good offense! Defend yourself against #bloodclots w/ these tips. #MarchMadness pic.twitter.com/6F8UO9aYWY Blood clots are normal and are the bodys way of stopping bleeding after an injury. Those clots normally dissolve on their own and are harmless. But venous thromboembolism, which refers to clots that form in the veins, can be deadly. VTE consists of deep vein thrombosis (clots that usually begin in the legs but sometimes in the arm or pelvis) and pulmonary embolism (when a deep-vein clot dislodges and travels to the lungs). The CDC says these types of blood clots affect about 900,000 people yearly in the U.S. and that about 100,000 people die from them. Its the leading cause of death in people with cancer, aside from the cancer itself. It also is a leading cause of death in pregnant women or those who have just given birth. Blood clots can happen to anyone, even athletes, but there are risk factors, including injuries, surgery, chronic illnesses, obesity and extended periods of limited movement, such as during long flights. The Pfizer and Moderna vaccines were first authorized for emergency use in December 2020 and the Johnson & Johnson vaccine was given emergency authorization in February 2021. There have been some reports of people developing blood clots after COVID-19 vaccination, but they are very rare. According to the CDC and the FDA, there have been 57 confirmed reports of people who received the Johnson & Johnson vaccine and later developed a rare clotting disorder called thrombosis with thrombocytopenia syndrome (TTS). Thats out of more than 18 million doses given in the U.S., as of Feb. 3. There have been nine deaths related to TTS among Johnson & Johnson vaccine recipients, according to the CDC. It recommends the Pfizer and Moderna vaccines instead, although it said the Johnson & Johnson vaccine can still be offered. There have been three confirmed cases of TTS among Moderna vaccine recipients out of more than 522 million doses, according to the CDC, which said that there is not an increased risk of TTS from the vaccine. The COVID-19 vaccine developed by AstraZeneca and Oxford University has also been tied to a rare blood clot disorder. Scientists believe they have figured out the cause: its use of another harmless virus that can leak into the bloodstream and bind to a protein that is involved in the natural clotting process, The New York Times reported. The AstraZeneca vaccine has not been authorized for use in the U.S. Health experts say that patients who are infected with COVID-19 commonly develop blood clots due to the virus. The virus is very well known to cause blood clots, so your odds of getting COVID-induced blood clots if you catch COVID are higher than the vaccine induced blood clots, Dr. Shruti Gohil, associate medical director for epidemiology and infection prevention and assistant professor of infectious diseases, at the University of California, Irvine, School of Medicine, told PolitiFact in October. The SARS-CoV-2 infection causes high levels of inflammation, which could trigger clotting often seen in COVID-19 patients, according to the National Heart Blood and Lung Institute. A Facebook post expressing skepticism about the safety of the COVID-19 vaccines claimed the CDC was normalizing blood clots by tweeting about it before the Super Bowl. Blood clots are common and can kill up to 100,000 Americans a year. The CDC has previously tweeted about the dangers of blood clots, including during the 2016 NCAA college basketball tournament. The Johnson & Johnson vaccine has been linked to rare cases of TTS, and the CDC said people should get the Pfizer and Moderna instead. Another vaccine from AstraZeneca, which has not been authorized for use in the U.S., has been linked to a separate, rare clotting disorder. Meanwhile, people are at risk of developing blood clots from the COVID-19 infection itself, which causes inflammation in the body. The post is wrong to suggest that the CDCs warning about blood clots is a new thing and that its somehow tied to COVID-19 vaccines."
4547,false,Karin Housley,Tina (Smith) profited from the opioid crisis. ​,"In a recent Minnesota Republican ad for U.S. Senate, a man and woman clink flutes of champagne on the beach as text rolls across the screen: Tina Smith loves the good life. Smith is defending her U.S. Senate seaton Nov. 6. She was appointed to the position earlier this year after fellow Democrat Al Franken stepped down following sexual misconduct allegations. The good life ad comes from Smiths Republican challenger, state Sen. Karin Housley, and the text on screen quickly departs from the beach scenes serenity.  The next line: Tina profited from the opioid crisis. The ad lists other dubious ways Smith supposedly enjoys herself, but this one caught our attention. We decided to see if the claim that Smith benefited financially from the opioid crisis held any water. As evidence of Smith profiting from the opioid crisis, Housleys campaign sent us financial disclosure forms, pointing to Smith and her husbands jointly owned stock in Abbott Laboratories of a value between $250,000 and $500,000. The Smiths invested in St. Jude Medical, a medical device company, which was acquired by Abbott Laboratories in 2017. After the acquisition, St. Jude Medical stock was changed to Abbott stock. In 1996, Abbott partnered in aggressive OxyContin marketing with Purdue Pharma — the company responsible for introducing OxyContin as a supposedly safe opioid pill. In OxyContins first year on the market, Abbott made $49 million. That annual figure had jumped to $1.6 billion by 2002.  But Abbott cut off its opioid connections in 2002, nearly 15 years before it acquired the company in which the Smiths held stock.The Housley campaign also pointed out that Archie Smith, Tinas husband, held between $1,000 and $15,000 in stock in Johnson & Johnson, which has been sued for its role in the opioid crisis. Johnson & Johnson is a also a parent company of two companies that have also been sued for marketing opioids. In Smiths most recent financial report, the income from that stock was between $200 and $1,000. Housley claimed Smith profited from the opioid crisis. The idea that the Smiths benefited financially from Abbott Laboratories actions a full 14 years before the company acquired St. Jude Medical goes too far. Smiths husband does hold between $1,000 and $15,000 in stock in Johnson & Johnson, but it's hard to draw a straight line from that amount ofstock ownership to profiting off the opioid crisis. Overall, the statement is not accurate."
17407,false,Mitt Romney,Says President Barack Obama has opened up no new trade relationships with other nations.,"During the Jan. 7, 2012, Republican presidential debate in Manchester, N.H., former Massachusetts Gov. Mitt Romney took a shot at President Barack Obamas trade policies. We have to open up markets for our goods, Romney said. We haven't done that under this president. European nations and China over the last three years have opened up 44 different trade relationships with various nations in theworld. This president has opened up none. We wont check the claim about European and Chinese trade deals here, but we will look at whetherRomney is correct about Obamas record on trade agreements. After lengthy negotiations, Obama signed tradeagreements withthree separate nations on Oct. 21, 2011 -- South Korea, Colombia, and Panama. These were not trivial deals. The one with South Korea, in particular, was the largest trade deal since 1994, when the U.S. approved the North American Free Trade Agreement, Bloomberg News reported at the time, citing administration data. The South Korea deal was poised to increase U.S. export access for everything from cars to farm goods, Bloomberg wrote. All three deals were initially forged under President George W. Bush, but Bush was unable to get the deals past a Democratic-controlled Congress. After the GOP took control of Congress in the 2010 midterm elections, Congressional Republicans pointed to the proposed deals as rare areas of possible cooperation between the two parties. But implementation negotiationsinitially stalled amid administration insistence on securing protections for workers. During the 2008 campaign, Obama had promisedto use trade agreements to spread good labor and environmental standards around the world. Even though negotiations with lawmakers dragged on, the administration was ultimately able to secure a legislative formulation that could garner enough votes to pass. Doing so required some political risk for the president with his own base, since a sizable faction within his own party is skeptical of expanding free trade agreements.(Public Citizen, a group that opposed all three agreements, produceda detailed comparison of whatObama promised and what the trade agreement with South Korea contains.) We askedthe Romney campfor their view, anda spokesman said that Romney wasreferring tonewdeals initiated and completedby this administration, rather thandealsinitiatedduring the previous administration and closed by Obama. But we think that'sa misleading standard.If that's what Romneymeans, he's effectivelystripping Obama of any credit for enactmentofthe three trade agreements, when in factbringing them to fruitionrequired significant negotiating effortswith lawmakers ofthe opposite party (and led to an achievementthat eluded his predecessor, Bush). Our ruling It did take the better part of three years for Obama and Congress to enact the languishing South Korea, Colombia and Panama trade agreements. But ultimately he did reach an accord with lawmakers that enabled the agreements relatively easy passage in both the House and the Senate, including strong support from Republicans as well as the votes of several dozen Democratic lawmakers. To say of trade relationships that Obama has opened up none deserves aratingofFalse."
12254,half-true,John McCain,"The border security plan of Sens. McCain and Kyl called for 3,000 additional troops to keep us safe. President Obama says he'll send 524.","Sen. John McCain of Arizona is up for re-election and facing a challenge in the Republican primary from J.D. Hayworth. His latest television ad ignores his primary opponent, instead going after President Barack Obama and emphasizing that McCain is committed to border security.The border security plan of Sens. McCain and Kyl called for 3,000 additional troops to keep us safe. President Obama says he'll send 524, the narrator says. This is no political game, Mr. President. It's about Arizona lives. It's a fight we must win. And with John McCain on our side, we will.We wanted to check whether it was true that McCain called for 3,000 troops while Obama said he would send 524.First, we checked out the plan outlined by McCain Sen. John Kyl, R-Ariz.. The 10-point proposal was released in April and includes the following point:Immediately deploy 3,000 National Guard Troops along the Arizona/Mexico border, along with appropriate surveillance platforms, which shall remain in place until the Governor of Arizona certifies, after consulting with state, local and tribal law enforcement, that the Federal Government has achieved operational control of the border. Permanently add 3,000 Custom and Border Protection Agents to the Arizona/Mexico border by 2015.McCain and Kyl introduced a bill to carry out the plan in May, but there has been no significant action on the proposed legislation.But McCain did add an amendment to a pending appropriations bill that authorizes defense spending; the amendment would send 6,000 troops to the border area, double the number McCain mentioned in his ad. The bill has not yet come up for a vote in the full Senate.Now, for Obama's plan. Obama announced in May that he was sending 1,200 National Guard troops to the southwest border to help with border security. The troops were sent to different states: 524 to Arizona, 250 to Texas, 224 to California, and 72 to New Mexico. Other troops were to serve in command and control or support positions in various states, according to the U.S. Army.But Obama has also asked Congress to pass emergency legislation to add 1,000 new border patrol agents. That legislation is pending, and the number has been increased to 1,500 agents. It does not specify how many agents would be assigned to which states. McCain said he supports the bill and that it should be passed as quickly as possible.So McCain supports 3,000 to 6,000 additional troops. On Obama's side, you could count the 1,200 National Guard troops he sent in May, plus 1,500 agents to be funded by legislation Obama is expected to sign upon passage. That totals 2,700, or 2,200, if you only count Obama's original request to Congress.In his ad, McCain gives a fair description of his own proposal calling for 3,000 more troops. But he downplays the number of personnel Obama has called for. The number 524 represents only National Guard troops being sent to Arizona as part an initiative announced in May. It does not include the 1,000 to 1,500 additional border patrol agents in proposed legislation that Obama supports, some of whom would be assigned to Arizona. Still, McCain does appear to want more new agents and troops sent to the border than Obama does."
13503,half-true,Mary Burke,The nation as a whole has created jobs at a rate that is two times the rate that we have created jobs here in Wisconsin under Gov. Walker.,"Introducing President Barack Obama in Milwaukee, Democratic gubernatorial hopeful Mary Burke touted economic growth nationwide when compared to that in Wisconsin under Gov. Scott Walker: The nation as a whole has created jobs at a rate that is two times the rate that we have created jobs here in Wisconsin under Gov. Walker. Asked to back up the claim, the Burke campaign pointed us to data from the U.S. Bureau of Labor Statistics quarterly employment surveys. That data is considered the most reliable measure of jobs, though it is less timely than that from separate monthly employment surveys. The campaign told us the statistics show U.S. growth at nearly twice the rate of Wisconsin. Burke, though, was more definitive at the rally, saying two times the rate. Burkes phrasing of the talking point has changed. In early 2014, she said the latest data from the quarterly surveys showed the national rate was nearly double Wisconsins rate. At that point, she quoted a Milwaukee Journal Sentinel story that came to the same conclusion after Wisconsin reported 1 percent growth compared with 1.9% nationally from June 2012 to June 2013. At the time, that was the latest available data, due to the lag time in the release of the detailed quarterly numbers, We crunched the same numbers the Burke campaign cited, examining private-sector employment, which has been the central focus of both candidates plans. Figures show that from the start of Walkers term to the end of his third year, the national gain was 6.6 percent compared to Wisconsins 4.1 percent. That meant the U.S. growth was 1.6 times that of Wisconsins. In the most recent year (March 2013 to March 2014), Wisconsins growth rate was 1.3 percent, compared with the U.S. rate of 2.1 percent. Same result: the national rate was 1.6 times better. As we examined year-over-year growth at different quarterly vantage points, we repeatedly saw growth 1.6 to 1.7 times larger for the national figures. (We also looked at results from another government jobs survey, the monthly reports. They are more up to date -- through September 2014 -- but less reliable. They, too, show, national growth at 1.6 times the states, from the start of Walkers term.) There were some smaller and larger differences at various points along the way. Annual growth rates in the United States in 2011, 2012 and 2013, and into early 2014 ranged from 1.2 to 2 times larger than Wisconsins. The high point was from September 2011 to September 2012, when the rate was twice that of Wisconsin. Our rating Burke claimed that the nation as a whole has created jobs at a rate that is two times the rate that we have created jobs here in Wisconsin under Gov. Walker. Wisconsin lags behind the nation significantly, but for the most part quite not as badly as Burke says, based on the last year and on results from most of Walkers term."
